Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Channel Partners,Canada,Velo,Medium,2431.000,120,12,29172.000,1458.600,27713.400,7293.000,20420.400,2014-12-01,12,December,2014
Government,Mexico,VTT,Medium,2689.000,250,7,18823.000,941.150,17881.850,13445.000,4436.850,2014-10-01,10,October,2014
Government,Mexico,Amarilla,Medium,1683.000,260,7,11781.000,589.050,11191.950,8415.000,2776.950,2014-07-01,7,July,2014
Channel Partners,Mexico,Amarilla,Medium,1123.000,260,12,13476.000,673.800,12802.200,3369.000,9433.200,2014-08-01,8,August,2014
Government,Germany,Amarilla,Medium,1159.000,260,7,8113.000,405.650,7707.350,5795.000,1912.350,2013-10-01,10,October,2013
Channel Partners,France,Carretera,Medium,1865.000,3,12,22380.000,1119.000,21261.000,5595.000,15666.000,2014-02-01,2,February,2014
Channel Partners,Germany,Carretera,Medium,1116.000,3,12,13392.000,669.600,12722.400,3348.000,9374.400,2014-02-01,2,February,2014
Government,France,Carretera,Medium,1563.000,3,20,31260.000,1563.000,29697.000,15630.000,14067.000,2014-05-01,5,May,2014
Small Business,United States of America,Carretera,Medium,991.000,3,300,297300.000,14865.000,282435.000,247750.000,34685.000,2014-06-01,6,June,2014
Government,Germany,Carretera,Medium,1016.000,3,7,7112.000,355.600,6756.400,5080.000,1676.400,2013-11-01,11,November,2013
Midmarket,Mexico,Carretera,Medium,2791.000,3,15,41865.000,2093.250,39771.750,27910.000,11861.750,2014-11-01,11,November,2014
Government,United States of America,Carretera,Medium,570.000,3,7,3990.000,199.500,3790.500,2850.000,940.500,2014-12-01,12,December,2014
Government,France,Carretera,Medium,2487.000,3,7,17409.000,870.450,16538.550,12435.000,4103.550,2014-12-01,12,December,2014
Government,France,Montana,Medium,1384.500,5,350,484575.000,24228.750,460346.250,359970.000,100376.250,2014-01-01,1,January,2014
Enterprise,United States of America,Montana,Medium,3627.000,5,125,453375.000,22668.750,430706.250,435240.000,-4533.750,2014-07-01,7,July,2014
Government,Mexico,Montana,Medium,720.000,5,350,252000.000,12600.000,239400.000,187200.000,52200.000,2013-09-01,9,September,2013
Channel Partners,Germany,Montana,Medium,2342.000,5,12,28104.000,1405.200,26698.800,7026.000,19672.800,2014-11-01,11,November,2014
Small Business,Mexico,Montana,Medium,1100.000,5,300,330000.000,16500.000,313500.000,275000.000,38500.000,2013-12-01,12,December,2013
Government,France,Paseo,Medium,1303.000,10,20,26060.000,1303.000,24757.000,13030.000,11727.000,2014-02-01,2,February,2014
Enterprise,United States of America,Paseo,Medium,2992.000,10,125,374000.000,18700.000,355300.000,359040.000,-3740.000,2014-03-01,3,March,2014
Enterprise,France,Paseo,Medium,2385.000,10,125,298125.000,14906.250,283218.750,286200.000,-2981.250,2014-03-01,3,March,2014
Small Business,Mexico,Paseo,Medium,1607.000,10,300,482100.000,24105.000,457995.000,401750.000,56245.000,2014-04-01,4,April,2014
Government,United States of America,Paseo,Medium,2327.000,10,7,16289.000,814.450,15474.550,11635.000,3839.550,2014-05-01,5,May,2014
Small Business,United States of America,Paseo,Medium,991.000,10,300,297300.000,14865.000,282435.000,247750.000,34685.000,2014-06-01,6,June,2014
Government,United States of America,Paseo,Medium,602.000,10,350,210700.000,10535.000,200165.000,156520.000,43645.000,2014-06-01,6,June,2014
Midmarket,France,Paseo,Medium,2620.000,10,15,39300.000,1965.000,37335.000,26200.000,11135.000,2014-09-01,9,September,2014
Government,Canada,Paseo,Medium,1228.000,10,350,429800.000,21490.000,408310.000,319280.000,89030.000,2013-10-01,10,October,2013
Government,Canada,Paseo,Medium,1389.000,10,20,27780.000,1389.000,26391.000,13890.000,12501.000,2013-10-01,10,October,2013
Enterprise,United States of America,Paseo,Medium,861.000,10,125,107625.000,5381.250,102243.750,103320.000,-1076.250,2014-10-01,10,October,2014
Enterprise,France,Paseo,Medium,704.000,10,125,88000.000,4400.000,83600.000,84480.000,-880.000,2013-10-01,10,October,2013
Government,Canada,Paseo,Medium,1802.000,10,20,36040.000,1802.000,34238.000,18020.000,16218.000,2013-12-01,12,December,2013
Government,United States of America,Paseo,Medium,2663.000,10,20,53260.000,2663.000,50597.000,26630.000,23967.000,2014-12-01,12,December,2014
Government,France,Paseo,Medium,2136.000,10,7,14952.000,747.600,14204.400,10680.000,3524.400,2013-12-01,12,December,2013
Midmarket,Germany,Paseo,Medium,2116.000,10,15,31740.000,1587.000,30153.000,21160.000,8993.000,2013-12-01,12,December,2013
Midmarket,United States of America,Velo,Medium,555.000,120,15,8325.000,416.250,7908.750,5550.000,2358.750,2014-01-01,1,January,2014
Midmarket,Mexico,Velo,Medium,2861.000,120,15,42915.000,2145.750,40769.250,28610.000,12159.250,2014-01-01,1,January,2014
Enterprise,Germany,Velo,Medium,807.000,120,125,100875.000,5043.750,95831.250,96840.000,-1008.750,2014-02-01,2,February,2014
Government,United States of America,Velo,Medium,602.000,120,350,210700.000,10535.000,200165.000,156520.000,43645.000,2014-06-01,6,June,2014
Government,United States of America,Velo,Medium,2832.000,120,20,56640.000,2832.000,53808.000,28320.000,25488.000,2014-08-01,8,August,2014
Government,France,Velo,Medium,1579.000,120,20,31580.000,1579.000,30001.000,15790.000,14211.000,2014-08-01,8,August,2014
Enterprise,United States of America,Velo,Medium,861.000,120,125,107625.000,5381.250,102243.750,103320.000,-1076.250,2014-10-01,10,October,2014
Enterprise,France,Velo,Medium,704.000,120,125,88000.000,4400.000,83600.000,84480.000,-880.000,2013-10-01,10,October,2013
Government,France,Velo,Medium,1033.000,120,20,20660.000,1033.000,19627.000,10330.000,9297.000,2013-12-01,12,December,2013
Small Business,Germany,Velo,Medium,1250.000,120,300,375000.000,18750.000,356250.000,312500.000,43750.000,2014-12-01,12,December,2014
Government,Canada,VTT,Medium,1389.000,250,20,27780.000,1389.000,26391.000,13890.000,12501.000,2013-10-01,10,October,2013
Government,United States of America,VTT,Medium,1265.000,250,20,25300.000,1265.000,24035.000,12650.000,11385.000,2013-11-01,11,November,2013
Government,Germany,VTT,Medium,2297.000,250,20,45940.000,2297.000,43643.000,22970.000,20673.000,2013-11-01,11,November,2013
Government,United States of America,VTT,Medium,2663.000,250,20,53260.000,2663.000,50597.000,26630.000,23967.000,2014-12-01,12,December,2014
Government,United States of America,VTT,Medium,570.000,250,7,3990.000,199.500,3790.500,2850.000,940.500,2014-12-01,12,December,2014
Government,France,VTT,Medium,2487.000,250,7,17409.000,870.450,16538.550,12435.000,4103.550,2014-12-01,12,December,2014
Government,Germany,Amarilla,Medium,1350.000,260,350,472500.000,23625.000,448875.000,351000.000,97875.000,2014-02-01,2,February,2014
Government,Canada,Amarilla,Medium,552.000,260,350,193200.000,9660.000,183540.000,143520.000,40020.000,2014-08-01,8,August,2014
Government,Canada,Amarilla,Medium,1228.000,260,350,429800.000,21490.000,408310.000,319280.000,89030.000,2013-10-01,10,October,2013
Small Business,Germany,Amarilla,Medium,1250.000,260,300,375000.000,18750.000,356250.000,312500.000,43750.000,2014-12-01,12,December,2014
Midmarket,France,Paseo,Medium,3801.000,10,15,57015.000,3420.900,53594.100,38010.000,15584.100,2014-04-01,4,April,2014
Government,United States of America,Carretera,Medium,1117.500,3,20,22350.000,1341.000,21009.000,11175.000,9834.000,2014-01-01,1,January,2014
Midmarket,Canada,Carretera,Medium,2844.000,3,15,42660.000,2559.600,40100.400,28440.000,11660.400,2014-06-01,6,June,2014
Channel Partners,Mexico,Carretera,Medium,562.000,3,12,6744.000,404.640,6339.360,1686.000,4653.360,2014-09-01,9,September,2014
Channel Partners,Canada,Carretera,Medium,2299.000,3,12,27588.000,1655.280,25932.720,6897.000,19035.720,2013-10-01,10,October,2013
Midmarket,United States of America,Carretera,Medium,2030.000,3,15,30450.000,1827.000,28623.000,20300.000,8323.000,2014-11-01,11,November,2014
Government,United States of America,Carretera,Medium,263.000,3,7,1841.000,110.460,1730.540,1315.000,415.540,2013-11-01,11,November,2013
Enterprise,Germany,Carretera,Medium,887.000,3,125,110875.000,6652.500,104222.500,106440.000,-2217.500,2013-12-01,12,December,2013
Government,Mexico,Montana,Medium,980.000,5,350,343000.000,20580.000,322420.000,254800.000,67620.000,2014-04-01,4,April,2014
Government,Germany,Montana,Medium,1460.000,5,350,511000.000,30660.000,480340.000,379600.000,100740.000,2014-05-01,5,May,2014
Government,France,Montana,Medium,1403.000,5,7,9821.000,589.260,9231.740,7015.000,2216.740,2013-10-01,10,October,2013
Channel Partners,United States of America,Montana,Medium,2723.000,5,12,32676.000,1960.560,30715.440,8169.000,22546.440,2014-11-01,11,November,2014
Government,France,Paseo,Medium,1496.000,10,350,523600.000,31416.000,492184.000,388960.000,103224.000,2014-06-01,6,June,2014
Channel Partners,Canada,Paseo,Medium,2299.000,10,12,27588.000,1655.280,25932.720,6897.000,19035.720,2013-10-01,10,October,2013
Government,United States of America,Paseo,Medium,727.000,10,350,254450.000,15267.000,239183.000,189020.000,50163.000,2013-10-01,10,October,2013
Enterprise,Canada,Velo,Medium,952.000,120,125,119000.000,7140.000,111860.000,114240.000,-2380.000,2014-02-01,2,February,2014
Enterprise,United States of America,Velo,Medium,2755.000,120,125,344375.000,20662.500,323712.500,330600.000,-6887.500,2014-02-01,2,February,2014
Midmarket,Germany,Velo,Medium,1530.000,120,15,22950.000,1377.000,21573.000,15300.000,6273.000,2014-05-01,5,May,2014
Government,France,Velo,Medium,1496.000,120,350,523600.000,31416.000,492184.000,388960.000,103224.000,2014-06-01,6,June,2014
Government,Mexico,Velo,Medium,1498.000,120,7,10486.000,629.160,9856.840,7490.000,2366.840,2014-06-01,6,June,2014
Small Business,France,Velo,Medium,1221.000,120,300,366300.000,21978.000,344322.000,305250.000,39072.000,2013-10-01,10,October,2013
Government,France,Velo,Medium,2076.000,120,350,726600.000,43596.000,683004.000,539760.000,143244.000,2013-10-01,10,October,2013
Midmarket,Canada,VTT,Medium,2844.000,250,15,42660.000,2559.600,40100.400,28440.000,11660.400,2014-06-01,6,June,2014
Government,Mexico,VTT,Medium,1498.000,250,7,10486.000,629.160,9856.840,7490.000,2366.840,2014-06-01,6,June,2014
Small Business,France,VTT,Medium,1221.000,250,300,366300.000,21978.000,344322.000,305250.000,39072.000,2013-10-01,10,October,2013
Government,Mexico,VTT,Medium,1123.000,250,20,22460.000,1347.600,21112.400,11230.000,9882.400,2013-11-01,11,November,2013
Small Business,Canada,VTT,Medium,2436.000,250,300,730800.000,43848.000,686952.000,609000.000,77952.000,2013-12-01,12,December,2013
Enterprise,France,Amarilla,Medium,1987.500,260,125,248437.500,14906.250,233531.250,238500.000,-4968.750,2014-01-01,1,January,2014
Government,Mexico,Amarilla,Medium,1679.000,260,350,587650.000,35259.000,552391.000,436540.000,115851.000,2014-09-01,9,September,2014
Government,United States of America,Amarilla,Medium,727.000,260,350,254450.000,15267.000,239183.000,189020.000,50163.000,2013-10-01,10,October,2013
Government,France,Amarilla,Medium,1403.000,260,7,9821.000,589.260,9231.740,7015.000,2216.740,2013-10-01,10,October,2013
Government,France,Amarilla,Medium,2076.000,260,350,726600.000,43596.000,683004.000,539760.000,143244.000,2013-10-01,10,October,2013
Government,France,Montana,Medium,1757.000,5,20,35140.000,2108.400,33031.600,17570.000,15461.600,2013-10-01,10,October,2013
Midmarket,United States of America,Paseo,Medium,2198.000,10,15,32970.000,1978.200,30991.800,21980.000,9011.800,2014-08-01,8,August,2014
Midmarket,Germany,Paseo,Medium,1743.000,10,15,26145.000,1568.700,24576.300,17430.000,7146.300,2014-08-01,8,August,2014
Midmarket,United States of America,Paseo,Medium,1153.000,10,15,17295.000,1037.700,16257.300,11530.000,4727.300,2014-10-01,10,October,2014
Government,France,Paseo,Medium,1757.000,10,20,35140.000,2108.400,33031.600,17570.000,15461.600,2013-10-01,10,October,2013
Government,Germany,Velo,Medium,1001.000,120,20,20020.000,1201.200,18818.800,10010.000,8808.800,2014-08-01,8,August,2014
Government,Mexico,Velo,Medium,1333.000,120,7,9331.000,559.860,8771.140,6665.000,2106.140,2014-11-01,11,November,2014
Midmarket,United States of America,VTT,Medium,1153.000,250,15,17295.000,1037.700,16257.300,11530.000,4727.300,2014-10-01,10,October,2014
Channel Partners,Mexico,Carretera,Medium,727.000,3,12,8724.000,610.680,8113.320,2181.000,5932.320,2014-02-01,2,February,2014
Channel Partners,Canada,Carretera,Medium,1884.000,3,12,22608.000,1582.560,21025.440,5652.000,15373.440,2014-08-01,8,August,2014
Government,Mexico,Carretera,Medium,1834.000,3,20,36680.000,2567.600,34112.400,18340.000,15772.400,2013-09-01,9,September,2013
Channel Partners,Mexico,Montana,Medium,2340.000,5,12,28080.000,1965.600,26114.400,7020.000,19094.400,2014-01-01,1,January,2014
Channel Partners,France,Montana,Medium,2342.000,5,12,28104.000,1967.280,26136.720,7026.000,19110.720,2014-11-01,11,November,2014
Government,France,Paseo,Medium,1031.000,10,7,7217.000,505.190,6711.810,5155.000,1556.810,2013-09-01,9,September,2013
Midmarket,Canada,Velo,Medium,1262.000,120,15,18930.000,1325.100,17604.900,12620.000,4984.900,2014-05-01,5,May,2014
Government,Canada,Velo,Medium,1135.000,120,7,7945.000,556.150,7388.850,5675.000,1713.850,2014-06-01,6,June,2014
Government,United States of America,Velo,Medium,547.000,120,7,3829.000,268.030,3560.970,2735.000,825.970,2014-11-01,11,November,2014
Government,Canada,Velo,Medium,1582.000,120,7,11074.000,775.180,10298.820,7910.000,2388.820,2014-12-01,12,December,2014
Channel Partners,France,VTT,Medium,1738.500,250,12,20862.000,1460.340,19401.660,5215.500,14186.160,2014-04-01,4,April,2014
Channel Partners,Germany,VTT,Medium,2215.000,250,12,26580.000,1860.600,24719.400,6645.000,18074.400,2013-09-01,9,September,2013
Government,Canada,VTT,Medium,1582.000,250,7,11074.000,775.180,10298.820,7910.000,2388.820,2014-12-01,12,December,2014
Government,Canada,Amarilla,Medium,1135.000,260,7,7945.000,556.150,7388.850,5675.000,1713.850,2014-06-01,6,June,2014
Government,United States of America,Carretera,Medium,1761.000,3,350,616350.000,43144.500,573205.500,457860.000,115345.500,2014-03-01,3,March,2014
Small Business,France,Carretera,Medium,448.000,3,300,134400.000,9408.000,124992.000,112000.000,12992.000,2014-06-01,6,June,2014
Small Business,France,Carretera,Medium,2181.000,3,300,654300.000,45801.000,608499.000,545250.000,63249.000,2014-10-01,10,October,2014
Government,France,Montana,Medium,1976.000,5,20,39520.000,2766.400,36753.600,19760.000,16993.600,2014-10-01,10,October,2014
Small Business,France,Montana,Medium,2181.000,5,300,654300.000,45801.000,608499.000,545250.000,63249.000,2014-10-01,10,October,2014
Enterprise,Germany,Montana,Medium,2500.000,5,125,312500.000,21875.000,290625.000,300000.000,-9375.000,2013-11-01,11,November,2013
Small Business,Canada,Paseo,Medium,1702.000,10,300,510600.000,35742.000,474858.000,425500.000,49358.000,2014-05-01,5,May,2014
Small Business,France,Paseo,Medium,448.000,10,300,134400.000,9408.000,124992.000,112000.000,12992.000,2014-06-01,6,June,2014
Enterprise,Germany,Paseo,Medium,3513.000,10,125,439125.000,30738.750,408386.250,421560.000,-13173.750,2014-07-01,7,July,2014
Midmarket,France,Paseo,Medium,2101.000,10,15,31515.000,2206.050,29308.950,21010.000,8298.950,2014-08-01,8,August,2014
Midmarket,United States of America,Paseo,Medium,2931.000,10,15,43965.000,3077.550,40887.450,29310.000,11577.450,2013-09-01,9,September,2013
Government,France,Paseo,Medium,1535.000,10,20,30700.000,2149.000,28551.000,15350.000,13201.000,2014-09-01,9,September,2014
Small Business,Germany,Paseo,Medium,1123.000,10,300,336900.000,23583.000,313317.000,280750.000,32567.000,2013-09-01,9,September,2013
Small Business,Canada,Paseo,Medium,1404.000,10,300,421200.000,29484.000,391716.000,351000.000,40716.000,2013-11-01,11,November,2013
Channel Partners,Mexico,Paseo,Medium,2763.000,10,12,33156.000,2320.920,30835.080,8289.000,22546.080,2013-11-01,11,November,2013
Government,Germany,Paseo,Medium,2125.000,10,7,14875.000,1041.250,13833.750,10625.000,3208.750,2013-12-01,12,December,2013
Small Business,France,Velo,Medium,1659.000,120,300,497700.000,34839.000,462861.000,414750.000,48111.000,2014-07-01,7,July,2014
Government,Mexico,Velo,Medium,609.000,120,20,12180.000,852.600,11327.400,6090.000,5237.400,2014-08-01,8,August,2014
Enterprise,Germany,Velo,Medium,2087.000,120,125,260875.000,18261.250,242613.750,250440.000,-7826.250,2014-09-01,9,September,2014
Government,France,Velo,Medium,1976.000,120,20,39520.000,2766.400,36753.600,19760.000,16993.600,2014-10-01,10,October,2014
Government,United States of America,Velo,Medium,1421.000,120,20,28420.000,1989.400,26430.600,14210.000,12220.600,2013-12-01,12,December,2013
Small Business,United States of America,Velo,Medium,1372.000,120,300,411600.000,28812.000,382788.000,343000.000,39788.000,2014-12-01,12,December,2014
Government,Germany,Velo,Medium,588.000,120,20,11760.000,823.200,10936.800,5880.000,5056.800,2013-12-01,12,December,2013
Channel Partners,Canada,VTT,Medium,3244.500,250,12,38934.000,2725.380,36208.620,9733.500,26475.120,2014-01-01,1,January,2014
Small Business,France,VTT,Medium,959.000,250,300,287700.000,20139.000,267561.000,239750.000,27811.000,2014-02-01,2,February,2014
Small Business,Mexico,VTT,Medium,2747.000,250,300,824100.000,57687.000,766413.000,686750.000,79663.000,2014-02-01,2,February,2014
Enterprise,Canada,Amarilla,Medium,1645.000,260,125,205625.000,14393.750,191231.250,197400.000,-6168.750,2014-05-01,5,May,2014
Government,France,Amarilla,Medium,2876.000,260,350,1006600.000,70462.000,936138.000,747760.000,188378.000,2014-09-01,9,September,2014
Enterprise,Germany,Amarilla,Medium,994.000,260,125,124250.000,8697.500,115552.500,119280.000,-3727.500,2013-09-01,9,September,2013
Government,Canada,Amarilla,Medium,1118.000,260,20,22360.000,1565.200,20794.800,11180.000,9614.800,2014-11-01,11,November,2014
Small Business,United States of America,Amarilla,Medium,1372.000,260,300,411600.000,28812.000,382788.000,343000.000,39788.000,2014-12-01,12,December,2014
Government,Canada,Montana,Medium,488.000,5,7,3416.000,273.280,3142.720,2440.000,702.720,2014-02-01,2,February,2014
Government,United States of America,Montana,Medium,1282.000,5,20,25640.000,2051.200,23588.800,12820.000,10768.800,2014-06-01,6,June,2014
Government,Canada,Paseo,Medium,257.000,10,7,1799.000,143.920,1655.080,1285.000,370.080,2014-05-01,5,May,2014
Government,United States of America,Amarilla,Medium,1282.000,260,20,25640.000,2051.200,23588.800,12820.000,10768.800,2014-06-01,6,June,2014
Enterprise,Mexico,Carretera,Medium,1540.000,3,125,192500.000,15400.000,177100.000,184800.000,-7700.000,2014-08-01,8,August,2014
Midmarket,France,Carretera,Medium,490.000,3,15,7350.000,588.000,6762.000,4900.000,1862.000,2014-11-01,11,November,2014
Government,Mexico,Carretera,Medium,1362.000,3,350,476700.000,38136.000,438564.000,354120.000,84444.000,2014-12-01,12,December,2014
Midmarket,France,Montana,Medium,2501.000,5,15,37515.000,3001.200,34513.800,25010.000,9503.800,2014-03-01,3,March,2014
Government,Canada,Montana,Medium,708.000,5,20,14160.000,1132.800,13027.200,7080.000,5947.200,2014-06-01,6,June,2014
Government,Germany,Montana,Medium,645.000,5,20,12900.000,1032.000,11868.000,6450.000,5418.000,2014-07-01,7,July,2014
Small Business,France,Montana,Medium,1562.000,5,300,468600.000,37488.000,431112.000,390500.000,40612.000,2014-08-01,8,August,2014
Small Business,Canada,Montana,Medium,1283.000,5,300,384900.000,30792.000,354108.000,320750.000,33358.000,2013-09-01,9,September,2013
Midmarket,Germany,Montana,Medium,711.000,5,15,10665.000,853.200,9811.800,7110.000,2701.800,2014-12-01,12,December,2014
Enterprise,Mexico,Paseo,Medium,1114.000,10,125,139250.000,11140.000,128110.000,133680.000,-5570.000,2014-03-01,3,March,2014
Government,Germany,Paseo,Medium,1259.000,10,7,8813.000,705.040,8107.960,6295.000,1812.960,2014-04-01,4,April,2014
Government,Germany,Paseo,Medium,1095.000,10,7,7665.000,613.200,7051.800,5475.000,1576.800,2014-05-01,5,May,2014
Government,Germany,Paseo,Medium,1366.000,10,20,27320.000,2185.600,25134.400,13660.000,11474.400,2014-06-01,6,June,2014
Small Business,Mexico,Paseo,Medium,2460.000,10,300,738000.000,59040.000,678960.000,615000.000,63960.000,2014-06-01,6,June,2014
Government,United States of America,Paseo,Medium,678.000,10,7,4746.000,379.680,4366.320,3390.000,976.320,2014-08-01,8,August,2014
Government,Germany,Paseo,Medium,1598.000,10,7,11186.000,894.880,10291.120,7990.000,2301.120,2014-08-01,8,August,2014
Government,Germany,Paseo,Medium,2409.000,10,7,16863.000,1349.040,15513.960,12045.000,3468.960,2013-09-01,9,September,2013
Government,Germany,Paseo,Medium,1934.000,10,20,38680.000,3094.400,35585.600,19340.000,16245.600,2014-09-01,9,September,2014
Government,Mexico,Paseo,Medium,2993.000,10,20,59860.000,4788.800,55071.200,29930.000,25141.200,2014-09-01,9,September,2014
Government,Germany,Paseo,Medium,2146.000,10,350,751100.000,60088.000,691012.000,557960.000,133052.000,2013-11-01,11,November,2013
Government,Mexico,Paseo,Medium,1946.000,10,7,13622.000,1089.760,12532.240,9730.000,2802.240,2013-12-01,12,December,2013
Government,Mexico,Paseo,Medium,1362.000,10,350,476700.000,38136.000,438564.000,354120.000,84444.000,2014-12-01,12,December,2014
Channel Partners,Canada,Velo,Medium,598.000,120,12,7176.000,574.080,6601.920,1794.000,4807.920,2014-03-01,3,March,2014
Government,United States of America,Velo,Medium,2907.000,120,7,20349.000,1627.920,18721.080,14535.000,4186.080,2014-06-01,6,June,2014
Government,Germany,Velo,Medium,2338.000,120,7,16366.000,1309.280,15056.720,11690.000,3366.720,2014-06-01,6,June,2014
Small Business,France,Velo,Medium,386.000,120,300,115800.000,9264.000,106536.000,96500.000,10036.000,2013-11-01,11,November,2013
Small Business,Mexico,Velo,Medium,635.000,120,300,190500.000,15240.000,175260.000,158750.000,16510.000,2014-12-01,12,December,2014
Government,France,VTT,Medium,574.500,250,350,201075.000,16086.000,184989.000,149370.000,35619.000,2014-04-01,4,April,2014
Government,Germany,VTT,Medium,2338.000,250,7,16366.000,1309.280,15056.720,11690.000,3366.720,2014-06-01,6,June,2014
Government,France,VTT,Medium,381.000,250,350,133350.000,10668.000,122682.000,99060.000,23622.000,2014-08-01,8,August,2014
Government,Germany,VTT,Medium,422.000,250,350,147700.000,11816.000,135884.000,109720.000,26164.000,2014-08-01,8,August,2014
Small Business,Canada,VTT,Medium,2134.000,250,300,640200.000,51216.000,588984.000,533500.000,55484.000,2014-09-01,9,September,2014
Small Business,United States of America,VTT,Medium,808.000,250,300,242400.000,19392.000,223008.000,202000.000,21008.000,2013-12-01,12,December,2013
Government,Canada,Amarilla,Medium,708.000,260,20,14160.000,1132.800,13027.200,7080.000,5947.200,2014-06-01,6,June,2014
Government,United States of America,Amarilla,Medium,2907.000,260,7,20349.000,1627.920,18721.080,14535.000,4186.080,2014-06-01,6,June,2014
Government,Germany,Amarilla,Medium,1366.000,260,20,27320.000,2185.600,25134.400,13660.000,11474.400,2014-06-01,6,June,2014
Small Business,Mexico,Amarilla,Medium,2460.000,260,300,738000.000,59040.000,678960.000,615000.000,63960.000,2014-06-01,6,June,2014
Government,Germany,Amarilla,Medium,1520.000,260,20,30400.000,2432.000,27968.000,15200.000,12768.000,2014-11-01,11,November,2014
Midmarket,Germany,Amarilla,Medium,711.000,260,15,10665.000,853.200,9811.800,7110.000,2701.800,2014-12-01,12,December,2014
Channel Partners,Mexico,Amarilla,Medium,1375.000,260,12,16500.000,1320.000,15180.000,4125.000,11055.000,2013-12-01,12,December,2013
Small Business,Mexico,Amarilla,Medium,635.000,260,300,190500.000,15240.000,175260.000,158750.000,16510.000,2014-12-01,12,December,2014
Government,United States of America,VTT,Medium,436.500,250,20,8730.000,698.400,8031.600,4365.000,3666.600,2014-07-01,7,July,2014
Small Business,Canada,Carretera,Medium,1094.000,3,300,328200.000,29538.000,298662.000,273500.000,25162.000,2014-06-01,6,June,2014
Channel Partners,Mexico,Carretera,Medium,367.000,3,12,4404.000,396.360,4007.640,1101.000,2906.640,2013-10-01,10,October,2013
Small Business,Canada,Montana,Medium,3802.500,5,300,1140750.000,102667.500,1038082.500,950625.000,87457.500,2014-04-01,4,April,2014
Government,France,Montana,Medium,1666.000,5,350,583100.000,52479.000,530621.000,433160.000,97461.000,2014-05-01,5,May,2014
Small Business,France,Montana,Medium,322.000,5,300,96600.000,8694.000,87906.000,80500.000,7406.000,2013-09-01,9,September,2013
Channel Partners,Canada,Montana,Medium,2321.000,5,12,27852.000,2506.680,25345.320,6963.000,18382.320,2014-11-01,11,November,2014
Enterprise,France,Montana,Medium,1857.000,5,125,232125.000,20891.250,211233.750,222840.000,-11606.250,2013-11-01,11,November,2013
Government,Canada,Montana,Medium,1611.000,5,7,11277.000,1014.930,10262.070,8055.000,2207.070,2013-12-01,12,December,2013
Enterprise,United States of America,Montana,Medium,2797.000,5,125,349625.000,31466.250,318158.750,335640.000,-17481.250,2014-12-01,12,December,2014
Small Business,Germany,Montana,Medium,334.000,5,300,100200.000,9018.000,91182.000,83500.000,7682.000,2013-12-01,12,December,2013
Small Business,Mexico,Paseo,Medium,2565.000,10,300,769500.000,69255.000,700245.000,641250.000,58995.000,2014-01-01,1,January,2014
Government,Mexico,Paseo,Medium,2417.000,10,350,845950.000,76135.500,769814.500,628420.000,141394.500,2014-01-01,1,January,2014
Midmarket,United States of America,Paseo,Medium,3675.000,10,15,55125.000,4961.250,50163.750,36750.000,13413.750,2014-04-01,4,April,2014
Small Business,Canada,Paseo,Medium,1094.000,10,300,328200.000,29538.000,298662.000,273500.000,25162.000,2014-06-01,6,June,2014
Midmarket,France,Paseo,Medium,1227.000,10,15,18405.000,1656.450,16748.550,12270.000,4478.550,2014-10-01,10,October,2014
Channel Partners,Mexico,Paseo,Medium,367.000,10,12,4404.000,396.360,4007.640,1101.000,2906.640,2013-10-01,10,October,2013
Small Business,France,Paseo,Medium,1324.000,10,300,397200.000,35748.000,361452.000,331000.000,30452.000,2014-11-01,11,November,2014
Channel Partners,Germany,Paseo,Medium,1775.000,10,12,21300.000,1917.000,19383.000,5325.000,14058.000,2013-11-01,11,November,2013
Enterprise,United States of America,Paseo,Medium,2797.000,10,125,349625.000,31466.250,318158.750,335640.000,-17481.250,2014-12-01,12,December,2014
Midmarket,Mexico,Velo,Medium,245.000,120,15,3675.000,330.750,3344.250,2450.000,894.250,2014-05-01,5,May,2014
Small Business,Canada,Velo,Medium,3793.500,120,300,1138050.000,102424.500,1035625.500,948375.000,87250.500,2014-07-01,7,July,2014
Government,Germany,Velo,Medium,1307.000,120,350,457450.000,41170.500,416279.500,339820.000,76459.500,2014-07-01,7,July,2014
Enterprise,Canada,Velo,Medium,567.000,120,125,70875.000,6378.750,64496.250,68040.000,-3543.750,2014-09-01,9,September,2014
Enterprise,Mexico,Velo,Medium,2110.000,120,125,263750.000,23737.500,240012.500,253200.000,-13187.500,2014-09-01,9,September,2014
Government,Canada,Velo,Medium,1269.000,120,350,444150.000,39973.500,404176.500,329940.000,74236.500,2014-10-01,10,October,2014
Channel Partners,United States of America,VTT,Medium,1956.000,250,12,23472.000,2112.480,21359.520,5868.000,15491.520,2014-01-01,1,January,2014
Small Business,Germany,VTT,Medium,2659.000,250,300,797700.000,71793.000,725907.000,664750.000,61157.000,2014-02-01,2,February,2014
Government,United States of America,VTT,Medium,1351.500,250,350,473025.000,42572.250,430452.750,351390.000,79062.750,2014-04-01,4,April,2014
Channel Partners,Germany,VTT,Medium,880.000,250,12,10560.000,950.400,9609.600,2640.000,6969.600,2014-05-01,5,May,2014
Small Business,United States of America,VTT,Medium,1867.000,250,300,560100.000,50409.000,509691.000,466750.000,42941.000,2014-09-01,9,September,2014
